"NOMBDIST","year","month","falciparum","vivax","aet","prcp","q","soilm","tmax","tmin","water_deficit","loss","loss_km2","cum_loss_km2","diag","enviro","nets","workers","pamafro","pop2015","NOMBPROV","NOMBDEP","IDDIST"
"CONTAMANA",2013,4,0,8,85.3531792260319,106.731791883994,21.4543352393516,187.123121404923,32.073545246455,21.0369364383822,0.0439306356601403,54100701.0258461,54.1007010258461,222.385342603231,0,0,0,0,0,27273,"UCAYALI","LORETO","160601"
"CONTAMANA",2013,5,0,1,89.3493255585834,115.07514443517,26.3797688125875,186.467052158363,32.078920941362,20.4301541407444,0.382851637210805,54100701.0258461,54.1007010258461,222.385342603231,0,0,0,0,0,27273,"UCAYALI","LORETO","160601"
"CONTAMANA",2013,6,0,1,70.80500952219,110.473410376694,39.2292871626815,186.906358399143,32.3395568612453,19.8834875066386,0.065125241043021,54100701.0258461,54.1007010258461,222.385342603231,0,0,0,0,0,27273,"UCAYALI","LORETO","160601"
"CONTAMANA",2013,7,0,0,89.0643545161782,142.059730382783,52.8337187114708,187.069171530663,31.8678033935312,18.6662620753911,0,54100701.0258461,54.1007010258461,222.385342603231,0,0,0,0,0,27273,"UCAYALI","LORETO","160601"
"CONTAMANA",2013,8,0,0,83.0223506714338,59.2631983306826,2.96647397814918,160.347591863202,32.4557803416757,18.6367052221574,15.5705202539992,54100701.0258461,54.1007010258461,222.385342603231,0,0,0,0,0,27273,"UCAYALI","LORETO","160601"
"CONTAMANA",2013,9,0,0,112.348747488621,173.429479668825,34.8445087076382,186.584778420039,33.3167629352195,20.0026975017981,0,54100701.0258461,54.1007010258461,222.385342603231,0,0,0,0,0,27273,"UCAYALI","LORETO","160601"
"CONTAMANA",2013,10,0,0,102.166666710767,166.396531915389,63.856261942428,186.959730262242,32.9212331275719,20.4715222044487,0,54100701.0258461,54.1007010258461,222.385342603231,0,0,0,0,0,27273,"UCAYALI","LORETO","160601"
"CONTAMANA",2013,11,0,0,96.206743773238,307.676686193213,211.224084887201,187.199807374693,32.3137572698281,20.4411175439353,0,54100701.0258461,54.1007010258461,222.385342603231,0,0,0,0,0,27273,"UCAYALI","LORETO","160601"
"CONTAMANA",2013,12,0,0,111.073795737559,204.912331494752,93.8346822146965,187.199807374693,32.5625433581872,21.127861285715,0,54100701.0258461,54.1007010258461,222.385342603231,0,0,0,0,0,27273,"UCAYALI","LORETO","160601"
"CONTAMANA",2014,1,0,0,84.7942195737982,196.001733915884,111.204816888063,187.199807374693,31.5673217920439,20.0690366528167,0,27332417.6077409,27.3324176077409,249.717760210972,0,0,0,0,0,27273,"UCAYALI","LORETO","160601"
